epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
88,4293.25,0.54155,0.83687,0.30915,0.85223,0,0.98525,0.98663,0.99236,0.80926,0.98262,0.98318,0.98836,0.76149,0.67413,1.0903,0.32067,0.93854,0,0.000473064,0.000473064,0.000473064
89,4323.79,0.53793,0.83256,0.30654,0.8491,0,0.98625,0.98347,0.99441,0.80865,0.98486,0.98189,0.99057,0.76079,0.66757,1.08204,0.31423,0.94073,0,0.000465731,0.000465731,0.000465731
90,4357.12,0.51233,0.80951,0.2935,0.84762,0,0.98633,0.98159,0.99195,0.8104,0.98783,0.98309,0.99024,0.75075,0.67846,1.08362,0.32321,0.95259,0,0.000458399,0.000458399,0.000458399
91,4383.36,0.52534,0.82269,0.298,0.84646,0,0.99118,0.98522,0.99283,0.81247,0.98974,0.98373,0.98887,0.75687,0.66405,1.07503,0.31427,0.93768,0,0.000451066,0.000451066,0.000451066
92,4411.4,0.51311,0.80616,0.29482,0.84477,0,0.98733,0.98511,0.99138,0.81419,0.98687,0.98437,0.9913,0.75982,0.66077,1.08703,0.3102,0.93243,0,0.000443733,0.000443733,0.000443733
93,4441.39,0.51752,0.80787,0.29522,0.84601,0,0.98623,0.98345,0.99088,0.81511,0.98623,0.98345,0.99086,0.75897,0.66506,1.09882,0.31467,0.93501,0,0.000436401,0.000436401,0.000436401
94,4468.05,0.50589,0.79644,0.28709,0.83718,0,0.98842,0.98185,0.99018,0.81598,0.98758,0.98102,0.98996,0.76041,0.66468,1.08739,0.31656,0.93944,0,0.000429068,0.000429068,0.000429068
95,4497.48,0.51654,0.80804,0.29484,0.84457,0,0.98645,0.98141,0.99234,0.81587,0.98624,0.98103,0.98878,0.75562,0.66354,1.10716,0.31668,0.93824,0,0.000421736,0.000421736,0.000421736
96,4524.14,0.5083,0.81305,0.2886,0.848,0,0.99004,0.98134,0.99172,0.81365,0.99093,0.98063,0.99156,0.76227,0.66936,1.09473,0.31006,0.93847,0,0.000414403,0.000414403,0.000414403
97,5031.93,0.51337,0.81267,0.29635,0.84284,0,0.99354,0.97973,0.99223,0.81583,0.99354,0.97973,0.99025,0.7585,0.66647,1.08297,0.31333,0.93478,0,0.00040707,0.00040707,0.00040707
98,5057.73,0.50186,0.79731,0.28974,0.841,0,0.98373,0.98407,0.98974,0.80977,0.98566,0.98101,0.98788,0.75037,0.66844,1.08833,0.31848,0.93854,0,0.000399738,0.000399738,0.000399738
99,5083.63,0.50504,0.80431,0.29142,0.83832,0,0.99086,0.98236,0.99116,0.81331,0.99091,0.98205,0.99111,0.76189,0.6637,1.09251,0.31549,0.93124,0,0.000392405,0.000392405,0.000392405
100,5121.06,0.49867,0.79083,0.29133,0.84124,0,0.98637,0.98933,0.99187,0.81369,0.98649,0.98844,0.98992,0.76698,0.66211,1.09374,0.30973,0.92874,0,0.000385073,0.000385073,0.000385073
101,5147.63,0.50656,0.80751,0.29098,0.8404,0,0.99116,0.98575,0.9913,0.81448,0.99145,0.98515,0.98935,0.76763,0.66166,1.10171,0.30807,0.92967,0,0.00037774,0.00037774,0.00037774
102,5174.16,0.49793,0.78905,0.28753,0.83873,0,0.99103,0.9908,0.99268,0.81457,0.98884,0.989,0.98876,0.76837,0.66513,1.07796,0.30969,0.93154,0,0.000370407,0.000370407,0.000370407
103,5205.45,0.49759,0.77485,0.28645,0.83766,0,0.98895,0.98885,0.99044,0.81556,0.98799,0.98852,0.98854,0.7619,0.65744,1.10333,0.30921,0.92994,0,0.000363075,0.000363075,0.000363075
104,5244.45,0.49227,0.78676,0.28484,0.83515,0,0.98975,0.98581,0.99139,0.81256,0.98897,0.98637,0.98955,0.76238,0.66419,1.09842,0.31288,0.93169,0,0.000355742,0.000355742,0.000355742
105,5315.67,0.5057,0.80736,0.29067,0.84282,0,0.9888,0.98349,0.99074,0.80995,0.98878,0.98225,0.98903,0.75467,0.66295,1.1142,0.3128,0.93667,0,0.00034841,0.00034841,0.00034841
106,5348.32,0.4964,0.77789,0.28632,0.8409,0,0.98579,0.98574,0.99048,0.80877,0.98652,0.98525,0.98861,0.75865,0.665,1.09799,0.31118,0.93379,0,0.000341077,0.000341077,0.000341077
107,5376.75,0.4884,0.79118,0.2827,0.83693,0,0.98631,0.99046,0.99149,0.8098,0.98562,0.98978,0.99136,0.76065,0.66402,1.09507,0.30791,0.93582,0,0.000333744,0.000333744,0.000333744
108,5404.06,0.49388,0.7938,0.28608,0.8378,0,0.99012,0.98896,0.99064,0.81198,0.98943,0.98828,0.98875,0.76319,0.66825,1.10195,0.30696,0.93421,0,0.000326412,0.000326412,0.000326412
109,5434.45,0.49315,0.78183,0.28715,0.83781,0,0.9889,0.98696,0.99067,0.81901,0.98821,0.98628,0.98874,0.7642,0.65284,1.07647,0.30227,0.92991,0,0.000319079,0.000319079,0.000319079
110,5460.57,0.48714,0.7698,0.27899,0.83563,0,0.99131,0.99022,0.99233,0.81503,0.99062,0.98954,0.99036,0.76035,0.65481,1.09077,0.2991,0.93349,0,0.000311747,0.000311747,0.000311747
111,5507.15,0.48246,0.78535,0.27553,0.83665,0,0.99258,0.98331,0.99048,0.80912,0.99258,0.98331,0.98864,0.76797,0.66541,1.08151,0.30941,0.93433,0,0.000304414,0.000304414,0.000304414
112,5535.8,0.49146,0.77734,0.28542,0.83899,0,0.98556,0.98703,0.98939,0.80995,0.98556,0.98703,0.98756,0.75581,0.66385,1.09166,0.31357,0.93795,0,0.000297081,0.000297081,0.000297081
113,5562.34,0.48306,0.78139,0.2843,0.8318,0,0.98844,0.97875,0.99044,0.81006,0.98844,0.97875,0.98859,0.75873,0.66558,1.12472,0.31484,0.93839,0,0.000289749,0.000289749,0.000289749
114,5588.48,0.47209,0.76388,0.27499,0.83217,0,0.98114,0.98033,0.99058,0.81515,0.98358,0.9771,0.98863,0.76213,0.65837,1.11389,0.31484,0.93491,0,0.000282416,0.000282416,0.000282416
115,5617.72,0.4763,0.76125,0.2773,0.83513,0,0.97461,0.98495,0.99009,0.80884,0.97461,0.98495,0.99009,0.75903,0.66041,1.09317,0.3148,0.93355,0,0.000275084,0.000275084,0.000275084
116,5947.15,0.46932,0.74994,0.27094,0.83078,0,0.98154,0.98058,0.98975,0.80397,0.98085,0.9799,0.98973,0.75745,0.66435,1.10342,0.31473,0.93974,0,0.000267751,0.000267751,0.000267751
117,6078.44,0.46578,0.75181,0.26922,0.82933,0,0.98301,0.98421,0.98939,0.80893,0.98484,0.98154,0.98937,0.76063,0.66291,1.10395,0.30769,0.93876,0,0.000260418,0.000260418,0.000260418
118,6111.7,0.47469,0.7531,0.27245,0.83446,0,0.98489,0.9862,0.99046,0.81038,0.98489,0.9862,0.98859,0.7586,0.66584,1.13,0.30341,0.94186,0,0.000253086,0.000253086,0.000253086
119,6140.5,0.46473,0.75593,0.26778,0.82815,0,0.98478,0.98579,0.98973,0.813,0.98478,0.98579,0.98792,0.76022,0.65843,1.12016,0.30175,0.9367,0,0.000245753,0.000245753,0.000245753
120,6179.73,0.47427,0.76227,0.27388,0.82829,0,0.98154,0.98844,0.9906,0.81165,0.98085,0.98776,0.99047,0.76082,0.65895,1.11895,0.30038,0.93737,0,0.000238421,0.000238421,0.000238421
